Date : 2020-08-30 21:32:59
Directory : f:\Projects\in_search_of_the_lost_chord
Total : 65 files,  2396 codes, 113 comments, 328 blanks, all 2837 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         45 |      2,004 |         40 |        269 |      2,313 |
| JSON       |          2 |        145 |          0 |          2 |        147 |
| XML        |          7 |        102 |         24 |          8 |        134 |
| Groovy     |          4 |         93 |          3 |         22 |        118 |
| YAML       |          1 |         17 |         45 |         14 |         76 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Swift      |          1 |         12 |          0 |          2 |         14 |
| Properties |          2 |          9 |          1 |          2 |         12 |
| C++        |          1 |          1 |          0 |          0 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                     | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                        |         65 |      2,396 |        113 |        328 |      2,837 |
| android                                                                                                  |         11 |        143 |         26 |         30 |        199 |
| android\app                                                                                              |          6 |         94 |         25 |         18 |        137 |
| android\app\src                                                                                          |          5 |         41 |         22 |          6 |         69 |
| android\app\src\debug                                                                                    |          1 |          4 |          3 |          1 |          8 |
| android\app\src\main                                                                                     |          3 |         33 |         16 |          4 |         53 |
| android\app\src\main\res                                                                                 |          2 |         10 |          9 |          3 |         22 |
| android\app\src\main\res\drawable                                                                        |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                          |          1 |          6 |          2 |          1 |          9 |
| android\app\src\profile                                                                                  |          1 |          4 |          3 |          1 |          8 |
| android\gradle                                                                                           |          1 |          5 |          1 |          1 |          7 |
| android\gradle\wrapper                                                                                   |          1 |          5 |          1 |          1 |          7 |
| ios                                                                                                      |          7 |        222 |          2 |          8 |        232 |
| ios\Runner                                                                                               |          7 |        222 |          2 |          8 |        232 |
| ios\Runner\Assets.xcassets                                                                               |          3 |        148 |          0 |          4 |        152 |
